"contrast","estimate","SE","df","z.ratio","p.value"
"4_2 - 6_4",0.905407505392484,0.269695289604024,Inf,3.35714986613905,0.119071184944596
"4_3 - 4_4",-0.689500067098614,0.275608651578996,Inf,-2.50173593299188,0.674777365430565
"4_3 - 5_1",-0.124828623009706,0.259036247790581,Inf,-0.481896352631791,1
"4_3 - 5_2",-2.37563944849107,7.28342826250143,Inf,-0.326170501427466,1
"4_3 - 5_3",0.460505692210699,0.276321006045759,Inf,1.66656056591817,0.993922919311386
"4_3 - 5_4",-0.664007737299328,0.270808042390402,Inf,-2.45194984402303,0.712467692618714
"4_3 - 6_1",0.85358507170313,0.297498397041273,Inf,2.86920897790488,0.384457902457075
"4_3 - 6_2",-0.0161148114638694,0.257672169884311,Inf,-0.0625399765566634,1
"4_3 - 6_3",0.382439923261127,0.26865106734679,Inf,1.42355631428574,0.999386139320075
"4_3 - 6_4",0.32979972375774,0.264541652248292,Inf,1.24668354096541,0.999930517909652
"4_4 - 5_1",0.564671444088908,0.273501321185136,Inf,2.06460225362742,0.927347850441532
"4_4 - 5_2",-1.68613938139246,7.28264379755017,Inf,-0.231528470740209,1
"4_4 - 5_3",1.15000575930931,0.292185751463765,Inf,3.935872141431,0.0172945759827561
"4_4 - 5_4",0.0254923297992864,0.280905554287601,Inf,0.0907505366490063,1
"4_4 - 6_1",1.54308513880174,0.313211602115806,Inf,4.92665382884254,0.000217175535663916
"4_4 - 6_2",0.673385255634745,0.271881491076216,Inf,2.47676019786862,0.69387110989636
"4_4 - 6_3",1.07193999035974,0.284389187121408,Inf,3.76927126242013,0.0317911474524427
"4_4 - 6_4",1.01929979085635,0.280295307173168,Inf,3.63652107178029,0.0501217860027554
"5_1 - 5_2",-2.25081082548137,7.28317794406468,Inf,-0.309042404671114,1
"5_1 - 5_3",0.585334315220405,0.275220775618401,Inf,2.1267809957486,0.904032928234506
"5_1 - 5_4",-0.539179114289622,0.268694656648387,Inf,-2.0066610963358,0.945235844005103
"5_1 - 6_1",0.978413694712836,0.296642049223298,Inf,3.29829738324229,0.140463250521889
"5_1 - 6_2",0.108713811545837,0.256184539846763,Inf,0.42435742457708,1
"5_1 - 6_3",0.507268546270833,0.267490622902609,Inf,1.89639749149459,0.970109639544048
"5_1 - 6_4",0.454628346767446,0.263331659476749,Inf,1.72644773389881,0.990346287249923
"5_2 - 5_3",2.83614514070177,7.28446195931843,Inf,0.389341746383028,1
"5_2 - 5_4",1.71163171119175,7.28255346048398,Inf,0.235031808620323,1
"5_2 - 6_1",3.2292245201942,7.285597997314,Inf,0.443233969453808,1
"5_2 - 6_2",2.3595246370272,7.28323370229939,Inf,0.323966624369376,1
"5_2 - 6_3",2.7580793717522,7.28408396858816,Inf,0.378644642709519,1
"5_2 - 6_4",2.70543917224881,7.2838950891136,Inf,0.371427531444313,1
"5_3 - 5_4",-1.12451342951003,0.287599638335537,Inf,-3.90999597919549,0.019060101656455
"5_3 - 6_1",0.393079379492431,0.310543037719185,Inf,1.26578068656584,0.999909910081963
"5_3 - 6_2",-0.476620503674568,0.273784217183521,Inf,-1.74086186770614,0.989265970648875
"5_3 - 6_3",-0.0780657689495716,0.283679969426651,Inf,-0.275189570512685,1
"5_3 - 6_4",-0.130705968452959,0.279734528116803,Inf,-0.467250036428761,1
"5_4 - 6_1",1.51759280900246,0.309009457781314,Inf,4.91115326986678,0.000234689023292156
"5_4 - 6_2",0.647892925835459,0.267956172655643,Inf,2.41790632928648,0.737295321033075
"5_4 - 6_3",1.04644766056046,0.280076328455716,Inf,3.73629455345389,0.0356878507124011
"5_4 - 6_4",0.993807461057068,0.27596508978898,Inf,3.60120717376606,0.05631310773291
"6_1 - 6_2",-0.869699883166999,0.295111498497386,Inf,-2.9470213380205,0.32908122153615
"6_1 - 6_3",-0.471145148442003,0.303985027475018,Inf,-1.54989590229316,0.997790461377017
"6_1 - 6_4",-0.52378534794539,0.300365825404755,Inf,-1.74382470855187,0.989032077588044
"6_2 - 6_3",0.398554734724997,0.265712186346827,Inf,1.49994902456139,0.998635184430502
"6_2 - 6_4",0.34591453522161,0.261526191517911,Inf,1.32267645245742,0.999811730452567
"6_3 - 6_4",-0.0526401995033869,0.272111915423052,Inf,-0.19345054927693,1
